open;high;low;close;volume;marketCap;timestamp
283.496;301.144;170.257;232.848;1765560000;23817805502.1;"2018-09-01T00:00:00.000Z"
233.22;234.145;188.707;197.381;1442380000;20314628127.2;"2018-10-01T00:00:00.000Z"
197.537;221.652;101.77;113.171421096;2020748395.52;11716096075.59;"2018-11-01T00:00:00.000Z"
113.397761799;157.668703493;82.8298902883;133.368263445;2358360233.97;13886837729.67;"2018-12-01T00:00:00.000Z"
133.418144908;160.824889089;103.336465552;107.061013064;2828796030.76;11204735502.2;"2019-01-01T00:00:00.000Z"
107.147683721;165.549627498;102.934560657;136.746252009;4535438953.17;14365118212.57;"2019-02-01T00:00:00.000Z"
136.836239742;149.613229156;125.402704805;141.514094106;4249050197.37;14925533136.91;"2019-03-01T00:00:00.000Z"
141.46548345;184.377848837;140.737559069;162.166037089;6275803460;17170110492.62;"2019-04-01T00:00:00.000Z"
162.186560067;287.201638845;159.660224302;268.113560321;11255023514.71;28501098830.86;"2019-05-01T00:00:00.000Z"
268.433356229;361.398673042;229.257431009;290.695998902;10303111000.42;31020295932.11;"2019-06-01T00:00:00.000Z"
290.268491537;318.223115908;193.990421655;218.654145766;6003828339.81;23425015629.84;"2019-07-01T00:00:00.000Z"
218.554589582;239.115898607;167.071417764;172.469788861;5830212248.6;18549906271.52;"2019-08-01T00:00:00.000Z"
172.458407973;222.871689908;157.130330654;179.872201473;7552915148.35;19419149343.03;"2019-09-01T00:00:00.000Z"
180.209117089;195.942508543;157.463417749;183.966917607;9607939606.42;19937256794.37;"2019-10-01T00:00:00.000Z"
183.803690756;193.547248514;133.802337987;152.539691345;6565950867.58;16589132425.86;"2019-11-01T00:00:00.000Z"
152.491922282;153.15540271;119.780058221;129.610859432;8936866396.64;14139765786.44;"2019-12-01T00:00:00.000Z"
129.630655703;186.260489829;126.490019807;180.160175239;11728616393.89;19729633077.61;"2020-01-01T00:00:00.000Z"
180.113770906;287.123696828;179.745185298;219.84851255;18181296376.35;24162913195.45;"2020-02-01T00:00:00.000Z"
219.752677765;249.978491516;95.1843005183;133.593565057;11065246316.98;14739376437.83;"2020-03-01T00:00:00.000Z"
133.612324512;227.529689912;129.730944345;207.602055895;28089191904;22989647064.8;"2020-04-01T00:00:00.000Z"
207.901731105;244.045261307;180.718334193;230.975700856;12234904813.34;25675542328.54;"2020-05-01T00:00:00.000Z"
230.860252561;252.222002825;219.472677862;226.314997358;6094093001.39;25249913730.18;"2020-06-01T00:00:00.000Z"
226.134585409;348.611372268;224.544490381;345.554649307;12030600491.53;38699278448.66;"2020-07-01T00:00:00.000Z"
345.798601857;444.577754687;343.587434131;435.079745266;12774741797.13;48909170051.95;"2020-08-01T00:00:00.000Z"
434.874437724;487.211889983;316.774345734;359.93787376;11818610609.91;40606130497.96;"2020-09-01T00:00:00.000Z"
360.30915387;420.14165637;334.54556532;386.59033529;11276963425.95;43776829150.38;"2020-10-01T00:00:00.000Z"
386.5903379;621.17342049;371.31273818;614.84252202;20276867832.97;69873714778.48;"2020-11-01T00:00:00.000Z"
615.07032475;754.30323417;532.99842827;737.80339769;13926846860.64;84156810764.81;"2020-12-01T00:00:00.000Z"
737.70837778;1467.78494205;718.10951748;1314.9862286;25198853580.84;150543956657.31;"2021-01-01T00:00:00.000Z"
1314.85528255;2036.28649332;1274.35775467;1416.0489059;27637026080.32;162650415374.44;"2021-02-01T00:00:00.000Z"
1417.15114276;1947.83775303;1416.41618462;1918.36206064;30226902620.88;221151811159.17;"2021-03-01T00:00:00.000Z"
1919.15728391;2797.97238495;1912.17840836;2773.20713193;29777179888.68;320822874720.79;"2021-04-01T00:00:00.000Z"
2772.83830288;4362.3505418;1737.46874792;2714.94534372;31007383150.37;315217277482.81;"2021-05-01T00:00:00.000Z"
2707.56059635;2891.254971;1707.60059497;2274.54771264;25828056267.87;265001225920.83;"2021-06-01T00:00:00.000Z"
2274.39751758;2551.16108426;1722.05078095;2536.21003475;18001710282.76;296532997873.12;"2021-07-01T00:00:00.000Z"
2530.46279155;3466.9922831;2449.35353558;3433.73278118;27280502987.45;402902770209.73;"2021-08-01T00:00:00.000Z"
3430.76234307;4022.46935966;2676.407414784;3001.6790517388;17661065099.26;353421264860.04;"2021-09-01T00:00:00.000Z"
3001.1293058231;4455.7353969388;2978.6544151669;4288.0744524723;17498160237.85;506663636947.23;"2021-10-01T00:00:00.000Z"
4288.2174696576;4891.7046975514;3933.5064907621;4631.4787953361;28626354110.88;549085770690.68;"2021-11-01T00:00:00.000Z"
4623.6794442015;4780.7324839017;3525.4940537032;3682.6329054434;14157285267.65;438128003490.89;"2021-12-01T00:00:00.000Z"
3683.0471559386;3876.7850857924;2172.3011525157;2688.2789217993;13778234613.69;320959888865.31;"2022-01-01T00:00:00.000Z"
2687.8989516973;3271.3161539173;2308.914730637;2919.2012286555;19266124733.01;349638704203.76;"2022-02-01T00:00:00.000Z"
2919.7758779522;3470.1863042731;2455.5937269856;3281.6428781566;17685495685.68;394425928251.04;"2022-03-01T00:00:00.000Z"
3282.57616759;3573.9602434336;2727.4063382467;2730.1868219832;13520941867.26;329245687214.6;"2022-04-01T00:00:00.000Z"
2729.9941987023;2956.6868876721;1721.2647487201;1942.3279982558;18363115559.73;235021820715.09;"2022-05-01T00:00:00.000Z"
1942.0506177248;1965.1665820077;896.1090090893;1067.2987999238;16350755497;129526314725.35;"2022-06-01T00:00:00.000Z"
1068.3168180002;1774.5764401636;1019.2203189881;1681.5173192968;14200735369.87;204771722888.53;"2022-07-01T00:00:00.000Z"
1681.4455627267;2022.7915557482;1427.728355783;1553.6849376151;20591680941.01;189843590076.15;"2022-08-01T00:00:00.000Z"
1553.7563911596;1784.4977849581;1229.4267080593;1327.9786375008;14250100093.1;162806430080.61;"2022-09-01T00:00:00.000Z"
1328.1937206528;1652.3822187455;1209.2781567993;1572.7144656013;19306919713.92;192459145336.4;"2022-10-01T00:00:00.000Z"
1572.6453605386;1661.3346634557;1081.1382441004;1295.6886059154;9836925303.83;158558424120.23;"2022-11-01T00:00:00.000Z"
1295.7695043818;1346.174482644;1160.377253593;1196.7712389628;3018513333.04;146453523490.15;"2022-12-01T00:00:00.000Z"
1196.7136705721;1674.1792675335;1192.8854356728;1586.5353739335;6585191018.9;194150467599.55;"2023-01-01T00:00:00.000Z"
1586.4881051415;1732.8010975279;1470.0239826862;1605.8951307949;6323676957.26;196519595895.71;"2023-02-01T00:00:00.000Z"
1606.0403815803;1853.8880031017;1378.5254019388;1822.0221185209;9149379763.25;219476732219.84;"2023-03-01T00:00:00.000Z"
1821.7043535926;2137.4451201451;1765.5188951201;1876.9243269741;6539641957.29;225975170377.92;"2023-04-01T00:00:00.000Z"
1868.8910607926;2017.55948262;1742.4037545434;1874.1304352123;202326166172.3;225361512775.62;"2023-05-01T00:00:00.000Z"
1873.9147321964;1945.2743126905;1624.1383321295;1933.1889822154;206194132395.61;232408283870.42;"2023-06-01T00:00:00.000Z"
1933.3238877329;2026.2049230768;1832.0254181354;1856.1623397384;177596680398.02;223070797299.17;"2023-07-01T00:00:00.000Z"